query,rank,video_id,caption,score,link,start,end,relevance
a snowy mountain with a clear blue sky,1,video5870,a person is skiing on a snowy mountain and doing a ski jump,10.15332444485040,https://www.youtube.com/watch?v=XWzYOpWi65E,36.75,57.47,2
a snowy mountain with a clear blue sky,2,video1070,a dashboard with all the gauges,4.917679408946090,https://www.youtube.com/watch?v=1KYpXcXA508,6.65,17.05,0
a snowy mountain with a clear blue sky,3,video994,there is a woman is making a dish with boiled water,4.659977628668960,https://www.youtube.com/watch?v=W3YVmSMl-fY,259.97,278.41,0
a snowy mountain with a clear blue sky,4,video1785,there is a man walking  through the forest with a lady,4.659977628668960,https://www.youtube.com/watch?v=x3dBFQeI9Ig,196.88,218.23,1
a snowy mountain with a clear blue sky,5,video1108,a computer character with a weapon plays for the red team,4.659977628668960,https://www.youtube.com/watch?v=8GncD3BAzNg,108.56,121.37,0
a crowded city street at night with neon signs,1,video4900,man people walk down a busy street at night past restaurants and businesses,10.184264180915600,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,2
a crowded city street at night with neon signs,2,video1190,a bunch of loud lamborghini s a driving up and down the street all at different times,6.0657830618992300,https://www.youtube.com/watch?v=YhLO-6TmC4g,75.49,101.28,0
a crowded city street at night with neon signs,3,video1094,a man in a white sweater vest sits at a desk and looks at pictures,5.103877471326730,https://www.youtube.com/watch?v=YgWnhS5WyfM,157.14,180.23,0
a crowded city street at night with neon signs,4,video5108,a famous woman is being interviewed at a red carpet event,4.180830393085030,https://www.youtube.com/watch?v=0Knp_ciNF_k,886.65,896.69,1
a crowded city street at night with neon signs,5,video1070,a dashboard with all the gauges,3.7470759033478700,https://www.youtube.com/watch?v=1KYpXcXA508,6.65,17.05,0
a peaceful beach with palm trees and waves crashing,1,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,7.80795342588986,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,2
a peaceful beach with palm trees and waves crashing,2,video3604,surfers sit on the beach then catch waves in the ocean,7.323826350451680,https://www.youtube.com/watch?v=SyGG6i9YPP8,55.92,82.63,1
a peaceful beach with palm trees and waves crashing,3,video119,a music video showing a black artist singing with many other male and female artist around,3.8731511838860400,https://www.youtube.com/watch?v=y2o19g5pBPM,21.49,36.0,0
a peaceful beach with palm trees and waves crashing,4,video1070,a dashboard with all the gauges,3.7470759033478700,https://www.youtube.com/watch?v=1KYpXcXA508,6.65,17.05,0
a peaceful beach with palm trees and waves crashing,5,video1196,a black screen with white words describing spongebob taking revenge and not forgetting his loss,3.6068416500898800,https://www.youtube.com/watch?v=S3rWUGjtn_4,122.96,134.0,0
a person jogging through a park in the morning,1,video854,a person is frying meat in the kitchen,8.397192670323830,https://www.youtube.com/watch?v=vNFDLkQZD5w,300.35,312.29,0
a person jogging through a park in the morning,2,video1785,there is a man walking  through the forest with a lady,7.347728174777520,https://www.youtube.com/watch?v=x3dBFQeI9Ig,196.88,218.23,1
a person jogging through a park in the morning,3,video1872,a man in a white tee shirt wearing a backpack walks through a rock filled creek,7.0039183627071200,https://www.youtube.com/watch?v=x3dBFQeI9Ig,335.05,347.43,1
a person jogging through a park in the morning,4,video1188,a person is explaining something,6.371244437727820,https://www.youtube.com/watch?v=-5YnzROk7RM,165.97,176.65,0
a person jogging through a park in the morning,5,video1082,a person is explaining something,6.371244437727820,https://www.youtube.com/watch?v=20ClJoxxxtQ,203.42,213.66,1
a chef chopping vegetables in a kitchen,1,video854,a person is frying meat in the kitchen,7.581680504370210,https://www.youtube.com/watch?v=vNFDLkQZD5w,300.35,312.29,1
a chef chopping vegetables in a kitchen,2,video1130,various vegetables on a white table possibly a cooking show/demo,6.829435462787290,https://www.youtube.com/watch?v=vE2WEYeGNQo,0.0,10.09,1
a chef chopping vegetables in a kitchen,3,video3855,a bald man in a chefs coat stands in a kitchen and speaks about the food on a board in front of him,6.735773020925060,https://www.youtube.com/watch?v=ua6Q4oAnUEw,60.14,74.02,1
a chef chopping vegetables in a kitchen,4,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,4.893973671992700,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0
a chef chopping vegetables in a kitchen,5,video1122,a boy and a girl dancing in a vehicle,4.761437203958420,https://www.youtube.com/watch?v=MR854-Cr-Ds,61.61,77.26,0
a surfer riding a big wave,1,video1122,a boy and a girl dancing in a vehicle,3.3006083837731800,https://www.youtube.com/watch?v=MR854-Cr-Ds,61.61,77.26,0
a surfer riding a big wave,2,video1181,a band is performing a song for a large crowd,3.2144755971402700,https://www.youtube.com/watch?v=QZfmZTndt4M,94.44,109.76,0
a surfer riding a big wave,3,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,3.176073181325700,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,0
a surfer riding a big wave,4,video1000,a woman is wearing a costume,3.167090458066890,https://www.youtube.com/watch?v=ALrHNDBK-jw,738.93,749.93,0
a surfer riding a big wave,5,video1124,a man is on a ladder,3.167090458066890,https://www.youtube.com/watch?v=9LyOQ2cJfvI,37.51,56.3,0
a red sports car in front of a building,1,video3855,a bald man in a chefs coat stands in a kitchen and speaks about the food on a board in front of him,8.08939629962207,https://www.youtube.com/watch?v=ua6Q4oAnUEw,60.14,74.02,0
a red sports car in front of a building,2,video5942,there is a red stylish car on the road,7.830281898230840,https://www.youtube.com/watch?v=ujn7jEQ4ib4,95.21,108.73,2
a red sports car in front of a building,3,video0,a car is shown,6.496300846382410,https://www.youtube.com/watch?v=9lZi22qLlEo,137.72,149.44,1
a red sports car in front of a building,4,video965,a girl driving car,6.496300846382410,https://www.youtube.com/watch?v=20ClJoxxxtQ,161.51,172.75,1
a red sports car in front of a building,5,video6502,a car engine is running,6.103485019874470,https://www.youtube.com/watch?v=IbPAMyvTLks,49.9,63.58,1
a golden retriever sitting on a grassy field,1,video3525,a dog is running on a field,8.975125411552400,https://www.youtube.com/watch?v=fyz2bryWD8g,70.95,83.03,1
a golden retriever sitting on a grassy field,2,video1029,a boy and a man are sitting and talking,7.123214404824310,https://www.youtube.com/watch?v=a3MyLt6l5n0,42.72,54.94,0
a golden retriever sitting on a grassy field,3,video5830,a baseball fan runs across the playing field during a match,6.074573284640990,https://www.youtube.com/watch?v=wv5m1-9J0hM,97.24,111.63,1
a golden retriever sitting on a grassy field,4,video1124,a man is on a ladder,5.0362460445790700,https://www.youtube.com/watch?v=9LyOQ2cJfvI,37.51,56.3,0
a golden retriever sitting on a grassy field,5,video1115,a man fixes a rotor on an engine,4.618111723070170,https://www.youtube.com/watch?v=BPNgdeD4jNY,102.33,112.6,0
a firefighter rescuing a person from a burning building at night,1,video636,a fire is burning,8.923849814709970,https://www.youtube.com/watch?v=NuZy8Rjk4d0,246.77,273.81,1
a firefighter rescuing a person from a burning building at night,2,video4900,man people walk down a busy street at night past restaurants and businesses,8.716817742449180,https://www.youtube.com/watch?v=Uw7aGaAut8I,239.45,251.37,0
a firefighter rescuing a person from a burning building at night,3,video1094,a man in a white sweater vest sits at a desk and looks at pictures,7.947337879508050,https://www.youtube.com/watch?v=YgWnhS5WyfM,157.14,180.23,0
a firefighter rescuing a person from a burning building at night,4,video4055,a fire burning in the woods,7.906178142986830,https://www.youtube.com/watch?v=NuZy8Rjk4d0,151.41,162.45,1
a firefighter rescuing a person from a burning building at night,5,video1888,a clip from a vice news story,7.804301878243180,https://www.youtube.com/watch?v=0WQKPpqGEvI,8.1,18.65,0
a person near luxury cars in cloudy weather speaking to someone,1,video5524,a man in a vest wearing sunglasses stands in a beach near a palm tree,6.621788491510080,https://www.youtube.com/watch?v=V1jqyfrUqqA,273.25,302.41,1
a person near luxury cars in cloudy weather speaking to someone,2,video453,a bald man in a black coat stands in the back of a parking lot and points to the great amount of cars there,6.122447694904940,https://www.youtube.com/watch?v=VK5ADL57j7Y,158.35,179.61,2
a person near luxury cars in cloudy weather speaking to someone,3,video854,a person is frying meat in the kitchen,5.877772770193510,https://www.youtube.com/watch?v=vNFDLkQZD5w,300.35,312.29,0
a person near luxury cars in cloudy weather speaking to someone,4,video1082,a person is explaining something,5.1298573285930300,https://www.youtube.com/watch?v=20ClJoxxxtQ,203.42,213.66,1
a person near luxury cars in cloudy weather speaking to someone,5,video1188,a person is explaining something,5.1298573285930300,https://www.youtube.com/watch?v=-5YnzROk7RM,165.97,176.65,1